gameId,gameDateTimeEst,teamCity,teamName,teamId,opponentTeamCity,opponentTeamName,opponentTeamId,home,win,teamScore,opponentScore,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,numMinutes,q1Points,q2Points,q3Points,q4Points,benchPoints,biggestLead,biggestScoringRun,leadChanges,pointsFastBreak,pointsFromTurnovers,pointsInThePaint,pointsSecondChance,timesTied,timeoutsRemaining,seasonWins,seasonLosses,coachId,gameDate
22500628,2026-01-22 14:00:00,Houston,Rockets,1610612745,Philadelphia,76ers,1610612755,0,0.0,122,128,33.0,5.0,13.0,99.0,46.0,0.465,40.0,18.0,0.45,24.0,12.0,0.5,31.0,15.0,46.0,18.0,16.0,-6.0,265.0,34.0,27.0,27.0,27.0,35.0,9.0,12.0,12.0,28.0,19.0,44.0,21.0,10.0,1.0,26.0,16.0,,2026-01-22
22500627,2026-01-22 14:00:00,Orlando,Magic,1610612753,Charlotte,Hornets,1610612766,1,0.0,97,124,25.0,4.0,7.0,79.0,33.0,0.418,37.0,14.0,0.378,22.0,17.0,0.773,25.0,6.0,31.0,23.0,12.0,-27.0,240.0,20.0,21.0,26.0,30.0,42.0,3.0,8.0,1.0,13.0,16.0,36.0,2.0,1.0,1.0,23.0,20.0,,2026-01-22
22500628,2026-01-22 14:00:00,Philadelphia,76ers,1610612755,Houston,Rockets,1610612745,1,1.0,128,122,41.0,4.0,13.0,89.0,49.0,0.551,32.0,11.0,0.344,22.0,19.0,0.864,37.0,9.0,46.0,23.0,15.0,6.0,265.0,32.0,36.0,22.0,25.0,15.0,9.0,8.0,12.0,31.0,24.0,66.0,10.0,10.0,1.0,24.0,19.0,,2026-01-22
22500629,2026-01-22 14:00:00,Washington,Wizards,1610612764,Denver,Nuggets,1610612743,1,0.0,97,107,20.0,6.0,9.0,84.0,32.0,0.381,43.0,13.0,0.302,24.0,20.0,0.833,28.0,14.0,42.0,21.0,14.0,-10.0,240.0,23.0,23.0,29.0,22.0,21.0,1.0,7.0,2.0,9.0,13.0,36.0,15.0,2.0,0.0,10.0,33.0,,2026-01-22
22500627,2026-01-22 14:00:00,Charlotte,Hornets,1610612766,Orlando,Magic,1610612753,0,1.0,124,97,26.0,4.0,7.0,79.0,43.0,0.544,36.0,17.0,0.472,25.0,21.0,0.84,37.0,10.0,47.0,18.0,14.0,27.0,240.0,35.0,27.0,35.0,27.0,55.0,33.0,11.0,1.0,16.0,14.0,50.0,16.0,1.0,1.0,17.0,28.0,,2026-01-22
22500626,2026-01-21 17:00:00,Sacramento,Kings,1610612758,Toronto,Raptors,1610612761,1,0.0,109,122,25.0,6.0,6.0,88.0,41.0,0.466,33.0,9.0,0.273,22.0,18.0,0.818,33.0,12.0,45.0,16.0,14.0,-13.0,240.0,30.0,31.0,21.0,27.0,39.0,12.0,10.0,5.0,12.0,8.0,56.0,17.0,4.0,1.0,12.0,33.0,,2026-01-21
22500626,2026-01-21 17:00:00,Toronto,Raptors,1610612761,Sacramento,Kings,1610612758,0,1.0,122,109,30.0,3.0,11.0,94.0,43.0,0.457,33.0,13.0,0.394,25.0,23.0,0.92,32.0,15.0,47.0,19.0,10.0,13.0,240.0,26.0,26.0,43.0,27.0,21.0,19.0,12.0,5.0,22.0,25.0,54.0,13.0,4.0,0.0,27.0,19.0,,2026-01-21
22500625,2026-01-21 16:30:00,Milwaukee,Bucks,1610612749,Oklahoma City,Thunder,1610612760,1,0.0,102,122,30.0,0.0,6.0,81.0,40.0,0.494,41.0,16.0,0.39,9.0,6.0,0.667,34.0,5.0,39.0,19.0,16.0,-20.0,240.0,18.0,33.0,26.0,25.0,46.0,0.0,8.0,0.0,16.0,8.0,38.0,7.0,0.0,1.0,18.0,25.0,,2026-01-21
22500625,2026-01-21 16:30:00,Oklahoma City,Thunder,1610612760,Milwaukee,Bucks,1610612749,0,1.0,122,102,24.0,3.0,12.0,90.0,49.0,0.544,36.0,14.0,0.389,15.0,10.0,0.667,35.0,7.0,42.0,11.0,8.0,20.0,240.0,38.0,31.0,30.0,23.0,32.0,25.0,11.0,0.0,10.0,20.0,58.0,12.0,0.0,1.0,37.0,8.0,,2026-01-21
22500623,2026-01-21 15:00:00,Atlanta,Hawks,1610612737,Memphis,Grizzlies,1610612763,0,1.0,124,122,34.0,6.0,9.0,92.0,43.0,0.467,45.0,20.0,0.444,24.0,18.0,0.75,31.0,11.0,42.0,24.0,16.0,2.0,240.0,31.0,35.0,28.0,30.0,52.0,11.0,8.0,21.0,24.0,25.0,42.0,18.0,14.0,0.0,21.0,25.0,,2026-01-21
